,index,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
17,17,32,0.0,0.0,4.0,2.0,1.0,1,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
18,18,46,0.0,0.0,20.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0
19,19,36,0.0,7.0,45.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
20,20,29,0.0,0.0,2.0,1.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
21,21,31,0.0,0.0,17.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
22,22,46,0.0,0.0,7.0,1.0,1.0,1,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
23,23,41,0.0,0.0,27.0,1.0,1.0,1,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
24,24,33,0.0,0.0,0.0,1.0,0.0,1,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0
25,25,35,0.0,0.0,4.0,1.0,0.0,1,3.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
26,26,33,0.0,0.0,4.0,1.0,1.0,0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
27,27,35,1.0,0.0,0.0,1.0,0.0,1,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
28,28,34,0.0,0.0,9.0,1.0,1.0,1,3.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,29,37,0.0,1.0,45.0,1.0,1.0,0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
30,30,32,0.0,1.0,45.0,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
31,31,31,0.0,0.0,6.0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,32,30,0.0,1.0,45.0,1.0,0.0,1,3.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
33,33,42,0.0,0.0,1.0,1.0,0.0,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
34,34,40,1.0,0.0,18.0,1.0,1.0,1,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
35,35,27,0.0,0.0,2.0,1.0,1.0,1,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
36,36,29,0.0,2.0,45.0,1.0,1.0,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
37,37,38,0.0,25.0,45.0,1.0,1.0,0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
38,38,50,0.0,0.0,11.0,1.0,1.0,0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
39,39,35,0.0,0.0,3.0,1.0,1.0,1,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
40,40,24,0.0,1.0,45.0,1.0,1.0,1,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
41,41,35,0.0,0.0,10.0,1.0,1.0,0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
42,42,27,0.0,2.0,45.0,1.0,0.0,1,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
43,43,18,0.0,4.0,45.0,1.0,1.0,0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
44,44,30,0.0,0.0,11.0,1.0,1.0,1,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
45,45,38,1.0,0.0,3.0,1.0,0.0,1,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0
46,46,28,0.0,1.0,45.0,1.0,1.0,0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0
47,47,34,0.0,0.0,4.0,1.0,1.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0
48,48,26,0.0,2.0,45.0,0.0,1.0,0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
49,49,30,0.0,0.0,8.0,1.0,0.0,1,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
50,50,22,0.0,0.0,3.0,1.0,0.0,1,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
51,51,33,0.0,0.0,22.0,1.0,1.0,0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
52,52,31,0.0,0.0,45.0,1.0,1.0,0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,53,32,0.0,0.0,4.0,1.0,1.0,0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
54,54,28,0.0,10.0,45.0,1.0,1.0,0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
55,55,27,0.0,0.0,2.0,1.0,0.0,1,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,56,32,0.0,0.0,4.0,1.0,0.0,0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
57,57,24,0.0,0.0,2.0,1.0,0.0,1,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0
58,58,26,0.0,0.0,4.0,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0
59,59,33,0.0,2.0,45.0,1.0,0.0,1,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
60,60,44,0.0,0.0,27.0,1.0,0.0,1,3.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
61,61,26,1.0,12.0,45.0,1.0,1.0,1,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0
62,62,27,0.0,1.0,45.0,1.0,1.0,0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
63,63,26,0.0,7.0,45.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,64,35,0.0,2.0,45.0,1.0,1.0,0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
65,65,40,0.0,0.0,0.0,1.0,0.0,0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
66,66,23,1.0,5.0,45.0,1.0,0.0,1,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
67,67,36,0.0,0.0,3.0,1.0,1.0,0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
68,68,31,1.0,0.0,35.0,1.0,1.0,0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
69,69,34,0.0,0.0,2.0,0.0,1.0,0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
70,70,28,0.0,7.0,45.0,1.0,1.0,0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
71,71,34,0.0,2.0,45.0,1.0,1.0,0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
72,72,23,1.0,0.0,7.0,1.0,1.0,0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
73,73,38,0.0,1.0,45.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0
74,74,33,0.0,0.0,0.0,1.0,1.0,0,1.0,5.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
75,75,19,0.0,1.0,45.0,1.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,76,25,0.0,0.0,1.0,1.0,1.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0
77,77,31,0.0,0.0,1.0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
78,78,32,0.0,0.0,22.0,1.0,0.0,1,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
79,79,28,0.0,3.0,45.0,1.0,1.0,0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
80,80,38,0.0,0.0,2.0,1.0,0.0,0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0
81,81,23,0.0,1.0,45.0,1.0,1.0,0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0
82,82,30,0.0,2.0,45.0,1.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
83,83,27,1.0,0.0,2.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0
84,84,33,0.0,0.0,0.0,1.0,0.0,0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,85,31,0.0,0.0,3.0,1.0,1.0,0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
86,86,39,0.0,1.0,45.0,0.0,1.0,1,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
87,87,34,1.0,0.0,5.0,1.0,0.0,1,2.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
88,88,29,1.0,0.0,16.0,1.0,1.0,1,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
89,89,32,0.0,0.0,8.0,1.0,1.0,0,0.0,4.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
90,90,31,0.0,0.0,2.0,1.0,1.0,0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0
91,91,40,0.0,0.0,3.0,1.0,1.0,1,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0
92,92,34,0.0,0.0,9.0,1.0,1.0,0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
93,93,18,0.0,20.0,45.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0
94,94,25,1.0,2.0,45.0,1.0,1.0,1,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
95,95,29,0.0,0.0,12.0,1.0,1.0,0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
96,96,24,0.0,0.0,14.0,1.0,0.0,0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
97,97,31,0.0,21.0,45.0,1.0,0.0,1,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
98,98,33,0.0,0.0,21.0,1.0,1.0,1,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
99,99,30,0.0,0.0,11.0,1.0,1.0,1,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
100,100,26,1.0,2.0,45.0,1.0,0.0,1,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
101,101,44,1.0,0.0,7.0,1.0,1.0,0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
102,102,25,0.0,0.0,2.0,1.0,0.0,0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
103,103,33,0.0,0.0,18.0,1.0,0.0,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0
104,104,29,0.0,0.0,2.0,1.0,1.0,0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
105,105,35,0.0,0.0,14.0,1.0,0.0,0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
106,106,35,0.0,0.0,5.0,1.0,0.0,1,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
107,107,28,0.0,16.0,45.0,1.0,0.0,1,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
108,108,34,0.0,0.0,4.0,1.0,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,109,32,0.0,0.0,1.0,1.0,1.0,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
110,110,22,0.0,0.0,2.0,1.0,1.0,1,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
111,111,28,0.0,0.0,0.0,1.0,1.0,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
112,112,45,0.0,0.0,14.0,1.0,0.0,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
113,113,32,0.0,0.0,2.0,1.0,1.0,0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
114,114,28,0.0,0.0,3.0,1.0,1.0,0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
115,115,26,0.0,1.0,45.0,1.0,1.0,0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
116,116,21,0.0,1.0,45.0,0.0,1.0,0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
117,117,27,0.0,2.0,45.0,1.0,1.0,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
118,118,18,0.0,0.0,30.0,1.0,1.0,1,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
119,119,35,0.0,0.0,19.0,1.0,1.0,0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
120,120,29,0.0,0.0,15.0,1.0,1.0,0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
121,121,25,0.0,0.0,26.0,1.0,1.0,0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
122,122,33,0.0,0.0,12.0,1.0,0.0,1,3.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0
123,123,36,0.0,0.0,1.0,1.0,1.0,0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124,124,27,0.0,2.0,45.0,1.0,1.0,1,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
125,125,27,0.0,0.0,1.0,1.0,0.0,0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
126,126,27,0.0,1.0,45.0,1.0,1.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
127,127,32,0.0,0.0,5.0,1.0,1.0,1,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
128,128,31,0.0,1.0,45.0,1.0,0.0,0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
129,129,19,0.0,28.0,45.0,1.0,1.0,1,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
130,130,33,0.0,0.0,8.0,1.0,0.0,1,3.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
131,131,32,0.0,0.0,0.0,1.0,1.0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0
132,132,27,0.0,0.0,34.0,1.0,1.0,0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
133,133,38,0.0,29.0,45.0,1.0,1.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
134,134,24,0.0,2.0,45.0,1.0,1.0,1,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0
135,135,39,0.0,1.0,45.0,1.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
136,136,28,0.0,1.0,45.0,1.0,1.0,0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0
